"parameter","value","CI_low","CI_high"
"r1",NA,0.314123925083475,0.403224959984592
"r2",NA,0.30641133402808,0.39731416289833
"alpha11",NA,0.000697591063059923,0.00103888140656548
"alpha22",NA,0.000242422790464381,0.000383153695939813
"alpha12",NA,0.000921650483518473,0.00115370752183983
"alpha21",NA,0.0012955912969792,0.00176481018475494
"e1",NA,0.0176508707574781,0.0257550856331655
"e2",NA,0.0603588188357706,0.101389347589396
"Ae1",144.4,NA,NA
"Ae2",167.6,NA,NA
"beta1",NA,0.424318683390245,0.855114456144638
"beta2",NA,0.289893917232822,0.591022113301529
"pmax",62.1428571428571,NA,NA
"tau",15.8958742632613,NA,NA
"f",0.793269230769231,NA,NA
"lambda",6.95161290322581,NA,NA
"eP",0.17543032303702,NA,NA
"Pe",1.53763440860215,NA,NA
