initials,date,time,replica,patch1_wingless,patch1_winged,patch2_wingless,patch2_winged
KG,21/08/2023,14:00:00,1,5,0,0,0
KG,21/08/2023,14:00:00,2,5,0,0,0
KG,21/08/2023,14:00:00,3,5,0,0,0
KG,21/08/2023,14:00:00,4,5,0,0,0
KG,21/08/2023,14:00:00,5,5,0,0,0
KG,23/08/2023,14:00:00,1,47,0,0,0
KG,23/08/2023,14:00:00,2,46,0,0,0
KG,23/08/2023,14:00:00,3,37,0,0,0
KG,23/08/2023,14:00:00,4,50,0,0,0
KG,23/08/2023,14:00:00,5,48,0,0,0
KG,25/08/2023,12:00:00,1,84,0,0,0
KG,25/08/2023,12:00:00,2,73,0,0,0
KG,25/08/2023,12:00:00,3,68,0,0,0
KG,25/08/2023,12:00:00,4,74,0,0,0
KG,25/08/2023,12:00:00,5,98,0,0,0
KG,28/08/2023,09:30:00,1,137,0,0,0
KG,28/08/2023,09:30:00,2,131,0,0,0
KG,28/08/2023,09:30:00,3,103,0,0,0
KG,28/08/2023,09:30:00,4,143,0,0,0
KG,28/08/2023,09:30:00,5,144,0,0,0
KG,30/08/2023,14:30:00,1,147,0,0,0
KG,30/08/2023,14:30:00,2,145,0,0,0
KG,30/08/2023,14:30:00,3,103,0,0,0
KG,30/08/2023,14:30:00,4,164,0,0,0
KG,30/08/2023,14:30:00,5,145,0,0,0
DTV,01/09/2023,10:30:00,1,150,0,0,0
DTV,01/09/2023,10:30:00,2,149,0,0,0
DTV,01/09/2023,10:30:00,3,110,0,0,0
DTV,01/09/2023,10:30:00,4,178,0,0,0
DTV,01/09/2023,10:30:00,5,151,0,0,0
KG,04/09/2023,10:00:00,1,261,26,1,0
KG,04/09/2023,10:00:00,2,167,20,0,0
KG,04/09/2023,10:00:00,3,132,16,2,3
KG,04/09/2023,10:00:00,4,357,19,0,0
KG,04/09/2023,10:00:00,5,246,9,11,0
KG,06/09/2023,14:30:00,1,270,24,9,5
KG,06/09/2023,14:30:00,2,195,18,2,5
KG,06/09/2023,14:30:00,3,120,14,3,2
KG,06/09/2023,14:30:00,4,405,24,18,13
KG,06/09/2023,14:30:00,5,290,12,6,1
KG,09/09/2023,11:00:00,1,545,38,1,1
KG,09/09/2023,11:00:00,2,395,29,5,6
KG,09/09/2023,11:00:00,3,310,15,0,0
KG,09/09/2023,11:00:00,4,500,28,1,0
KG,09/09/2023,11:00:00,5,515,12,6,3
KG,11/09/2023,14:00:00,1,540,36,1,0
KG,11/09/2023,14:00:00,2,460,38,1,1
KG,11/09/2023,14:00:00,3,370,17,3,4
KG,11/09/2023,14:00:00,4,440,22,9,2
KG,11/09/2023,14:00:00,5,555,17,3,0
KG,13/09/2023,09:30:00,1,615,33,4,1
KG,13/09/2023,09:30:00,2,510,22,0,1
KG,13/09/2023,09:30:00,3,360,10,4,2
KG,13/09/2023,09:30:00,4,350,28,2,1
KG,13/09/2023,09:30:00,5,655,19,7,1
KG,15/09/2023,08:30:00,1,660,35,8,1
KG,15/09/2023,08:30:00,2,500,20,2,1
KG,15/09/2023,08:30:00,3,300,11,26,2
KG,15/09/2023,08:30:00,4,210,38,22,5
KG,15/09/2023,08:30:00,5,610,28,27,6
DTV,18/09/2023,16:00:00,1,,,41,4
DTV,18/09/2023,16:00:00,2,,,52,3
DTV,18/09/2023,16:00:00,3,,,32,2
DTV,18/09/2023,16:00:00,4,,,41,4
DTV,18/09/2023,16:00:00,5,,,72,7
DTV,20/09/2023,11:00:00,1,,,,
DTV,20/09/2023,11:00:00,2,,,,
DTV,20/09/2023,11:00:00,3,,,,
DTV,20/09/2023,11:00:00,4,,,,
DTV,20/09/2023,11:00:00,5,,,,
