initials,date,time,replica,BRBR_wingless,LIER_wingless,winged_total
KG,04/09/2023,14:00:00,1,5,5,0
KG,04/09/2023,14:00:00,2,5,5,0
KG,04/09/2023,14:00:00,3,5,5,0
KG,04/09/2023,14:00:00,4,5,5,0
KG,04/09/2023,14:00:00,5,5,5,0
KG,06/09/2023,14:30:00,1,13,48,0
KG,06/09/2023,14:30:00,2,17,30,0
KG,06/09/2023,14:30:00,3,9,24,0
KG,06/09/2023,14:30:00,4,27,34,0
KG,06/09/2023,14:30:00,5,37,53,0
KG,09/09/2023,11:00:00,1,49,106,0
KG,09/09/2023,11:00:00,2,50,70,0
KG,09/09/2023,11:00:00,3,32,89,0
KG,09/09/2023,11:00:00,4,47,96,0
KG,09/09/2023,11:00:00,5,65,117,0
KG,11/09/2023,14:00:00,1,60,143,0
KG,11/09/2023,14:00:00,2,52,98,0
KG,11/09/2023,14:00:00,3,50,114,0
KG,11/09/2023,14:00:00,4,71,135,0
KG,11/09/2023,14:00:00,5,110,134,0
KG,13/09/2023,16:00:00,1,86,185,0
KG,13/09/2023,16:00:00,2,58,151,0
KG,13/09/2023,16:00:00,3,64,182,0
KG,13/09/2023,16:00:00,4,95,179,0
KG,13/09/2023,16:00:00,5,134,175,0
KG,15/09/2023,12:00:00,1,86,175,1
KG,15/09/2023,12:00:00,2,82,153,2
KG,15/09/2023,12:00:00,3,74,228,0
KG,15/09/2023,12:00:00,4,117,160,0
KG,15/09/2023,12:00:00,5,115,184,4
DTV,18/09/2023,17:30:00,1,270,395,21
DTV,18/09/2023,17:30:00,2,80,245,29
DTV,18/09/2023,17:30:00,3,108,405,13
DTV,18/09/2023,17:30:00,4,205,475,25
DTV,18/09/2023,17:30:00,5,260,600,31
DTV,20/09/2023,09:30:00,1,305,450,25
DTV,20/09/2023,09:30:00,2,93,265,42
DTV,20/09/2023,09:30:00,3,95,375,24
DTV,20/09/2023,09:30:00,4,92,400,19
DTV,20/09/2023,09:30:00,5,255,470,31
DTV,22/09/2023,11:00:00,1,310,600,32
DTV,22/09/2023,11:00:00,2,99,345,61
DTV,22/09/2023,11:00:00,3,84,340,39
DTV,22/09/2023,11:00:00,4,80,280,26
DTV,22/09/2023,11:00:00,5,200,360,61
DTV,25/09/2023,09:30:00,1,97,460,53
DTV,25/09/2023,09:30:00,2,62,182,74
DTV,25/09/2023,09:30:00,3,51,300,45
DTV,25/09/2023,09:30:00,4,65,160,37
DTV,25/09/2023,09:30:00,5,41,260,78
DTV,27/09/2023,15:30:00,1,41,112,92
DTV,27/09/2023,15:30:00,2,21,81,88
DTV,27/09/2023,15:30:00,3,32,250,70
DTV,27/09/2023,15:30:00,4,24,138,41
DTV,27/09/2023,15:30:00,5,40,173,59
DTV,29/09/2023,09:30:00,1,18,31,142
DTV,29/09/2023,09:30:00,2,8,36,107
DTV,29/09/2023,09:30:00,3,20,205,39
DTV,29/09/2023,09:30:00,4,5,101,58
DTV,29/09/2023,09:30:00,5,35,95,39
DTV,02/10/2023,12:00:00,1,,,
DTV,02/10/2023,12:00:00,2,,,
DTV,02/10/2023,12:00:00,3,,190,85
DTV,02/10/2023,12:00:00,4,,,
DTV,02/10/2023,12:00:00,5,,,
KG,04/10/2023,09:30:00,1,,,
KG,04/10/2023,09:30:00,2,,,
KG,04/10/2023,09:30:00,3,,,
KG,04/10/2023,09:30:00,4,,,
KG,04/10/2023,09:30:00,5,,,
